,Disciplina,# Publicaciones,# Autores,% Hombre,% Mujer,Producción Per Cápita,año
160,POLYMER SCIENCE,24,52,74,26,0.5,2016
161,PSYCHIATRY,8,12,75,25,0.7,2016
162,PSYCHOLOGY,39,52,54,46,0.8,2016
163,"PSYCHOLOGY, APPLIED",4,2,50,50,2.0,2016
164,"PSYCHOLOGY, CLINICAL",9,21,62,38,0.4,2016
165,"PSYCHOLOGY, DEVELOPMENTAL",1,1,100,0,1.0,2016
166,"PSYCHOLOGY, EDUCATIONAL",1,2,50,50,0.5,2016
167,"PSYCHOLOGY, EXPERIMENTAL",1,2,0,100,0.5,2016
168,"PSYCHOLOGY, MULTIDISCIPLINARY",21,29,45,55,0.7,2016
169,"PSYCHOLOGY, SOCIAL",2,2,100,0,1.0,2016
170,PUBLIC ADMINISTRATION,5,7,57,43,0.7,2016
171,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",19,41,51,49,0.5,2016
172,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",3,5,60,40,0.6,2016
173,REHABILITATION,5,6,83,17,0.8,2016
174,RELIGION,1,1,100,0,1.0,2016
175,REMOTE SENSING,13,24,96,4,0.5,2016
176,REPRODUCTIVE BIOLOGY,7,26,62,38,0.3,2016
177,RESPIRATORY SYSTEM,7,13,67,33,0.5,2016
178,RHEUMATOLOGY,3,2,50,50,1.5,2016
179,ROBOTICS,1,2,100,0,0.5,2016
180,SOCIAL ISSUES,1,1,100,0,1.0,2016
181,"SOCIAL SCIENCES, BIOMEDICAL",4,7,71,29,0.6,2016
182,"SOCIAL SCIENCES, INTERDISCIPLINARY",9,10,70,30,0.9,2016
183,"SOCIAL SCIENCES, MATHEMATICAL METHODS",1,1,100,0,1.0,2016
184,SOCIOLOGY,3,4,75,25,0.8,2016
185,SOIL SCIENCE,15,25,79,21,0.6,2016
186,SPECTROSCOPY,5,13,85,15,0.4,2016
187,SPORT SCIENCES,5,5,75,25,1.0,2016
188,STATISTICS & PROBABILITY,8,13,85,15,0.6,2016
189,SUBSTANCE ABUSE,2,4,50,50,0.5,2016
190,SURGERY,7,9,88,13,0.8,2016
191,TELECOMMUNICATIONS,6,13,100,0,0.5,2016
192,THERMODYNAMICS,8,17,76,24,0.5,2016
193,TOXICOLOGY,9,27,48,52,0.3,2016
194,TRANSPLANTATION,2,2,100,0,1.0,2016
195,TRANSPORTATION,3,5,80,20,0.6,2016
196,TRANSPORTATION SCIENCE & TECHNOLOGY,2,3,100,0,0.7,2016
197,TROPICAL MEDICINE,1,1,100,0,1.0,2016
198,URBAN STUDIES,8,13,69,31,0.6,2016
199,UROLOGY & NEPHROLOGY,3,3,100,0,1.0,2016
200,VETERINARY SCIENCES,26,58,52,48,0.4,2016
201,VIROLOGY,2,3,67,33,0.7,2016
202,WATER RESOURCES,36,68,70,30,0.5,2016
203,ZOOLOGY,31,57,64,36,0.5,2016
0,ACOUSTICS,6,6,100,0,1.0,2017
1,AGRICULTURAL ECONOMICS & POLICY,2,5,100,0,0.4,2017
2,AGRICULTURAL ENGINEERING,17,47,72,28,0.4,2017
3,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",9,24,45,55,0.4,2017
4,"AGRICULTURE, MULTIDISCIPLINARY",30,90,72,28,0.3,2017
5,AGRONOMY,33,95,70,30,0.3,2017
6,ANATOMY & MORPHOLOGY,13,21,76,24,0.6,2017
7,ANTHROPOLOGY,4,5,60,40,0.8,2017
8,ARCHAEOLOGY,4,2,50,50,2.0,2017
9,ARCHITECTURE,6,14,71,29,0.4,2017
10,AREA STUDIES,6,6,67,33,1.0,2017
11,ART,2,4,75,25,0.5,2017
12,ASTRONOMY & ASTROPHYSICS,137,74,87,13,1.9,2017
13,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,1,1,100,0,1.0,2017
14,AUTOMATION & CONTROL SYSTEMS,12,8,100,0,1.5,2017
15,BEHAVIORAL SCIENCES,4,4,75,25,1.0,2017
16,BIOCHEMICAL RESEARCH METHODS,7,25,70,30,0.3,2017
17,BIOCHEMISTRY & MOLECULAR BIOLOGY,69,194,64,36,0.4,2017
18,BIODIVERSITY CONSERVATION,20,44,59,41,0.5,2017
19,BIOLOGY,16,34,61,39,0.5,2017
20,BIOPHYSICS,17,41,76,24,0.4,2017
21,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,24,88,58,42,0.3,2017
22,BUSINESS,6,8,100,0,0.8,2017
23,"BUSINESS, FINANCE",2,2,100,0,1.0,2017
24,CARDIAC & CARDIOVASCULAR SYSTEMS,5,19,76,24,0.3,2017
25,CELL & TISSUE ENGINEERING,1,8,38,63,0.1,2017
26,CELL BIOLOGY,28,79,59,41,0.4,2017
27,CHEMISTRY,150,269,69,31,0.6,2017
28,"CHEMISTRY, ANALYTICAL",18,53,73,27,0.3,2017
29,"CHEMISTRY, APPLIED",27,55,58,42,0.5,2017
30,"CHEMISTRY, INORGANIC & NUCLEAR",9,24,63,38,0.4,2017
31,"CHEMISTRY, MEDICINAL",20,38,57,43,0.5,2017
32,"CHEMISTRY, MULTIDISCIPLINARY",44,100,71,29,0.4,2017
33,"CHEMISTRY, ORGANIC",18,24,71,29,0.8,2017
34,"CHEMISTRY, PHYSICAL",54,87,72,28,0.6,2017
35,CLINICAL NEUROLOGY,18,25,58,42,0.7,2017
36,COMMUNICATION,1,1,0,100,1.0,2017
37,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",16,23,90,10,0.7,2017
38,"COMPUTER SCIENCE, CYBERNETICS",3,12,60,40,0.3,2017
39,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",8,14,86,14,0.6,2017
40,"COMPUTER SCIENCE, INFORMATION SYSTEMS",14,26,71,29,0.5,2017
41,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",21,46,77,23,0.5,2017
42,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",6,11,82,18,0.5,2017
43,"COMPUTER SCIENCE, THEORY & METHODS",32,59,84,16,0.5,2017
44,CONSTRUCTION & BUILDING TECHNOLOGY,15,24,90,10,0.6,2017
45,CRITICAL CARE MEDICINE,4,6,100,0,0.7,2017
46,CRYSTALLOGRAPHY,6,14,79,21,0.4,2017
47,"DENTISTRY, ORAL SURGERY & MEDICINE",16,14,79,21,1.1,2017
48,DERMATOLOGY,3,11,36,64,0.3,2017
49,DEVELOPMENTAL BIOLOGY,18,30,69,31,0.6,2017
50,ECOLOGY,73,127,67,33,0.6,2017
51,ECONOMICS,22,42,76,24,0.5,2017
52,EDUCATION & EDUCATIONAL RESEARCH,19,44,52,48,0.4,2017
53,"EDUCATION, SCIENTIFIC DISCIPLINES",4,16,75,25,0.3,2017
54,"EDUCATION, SPECIAL",4,4,67,33,1.0,2017
55,ELECTROCHEMISTRY,8,20,75,25,0.4,2017
56,ENDOCRINOLOGY & METABOLISM,22,64,56,44,0.3,2017
57,ENERGY & FUELS,61,92,84,16,0.7,2017
58,"ENGINEERING, BIOMEDICAL",10,17,94,6,0.6,2017
59,"ENGINEERING, CHEMICAL",35,72,70,30,0.5,2017
60,"ENGINEERING, CIVIL",28,47,85,15,0.6,2017
61,"ENGINEERING, ELECTRICAL & ELECTRONIC",138,138,93,7,1.0,2017
62,"ENGINEERING, ENVIRONMENTAL",29,60,63,37,0.5,2017
63,"ENGINEERING, GEOLOGICAL",5,7,71,29,0.7,2017
64,"ENGINEERING, INDUSTRIAL",19,22,95,5,0.9,2017
65,"ENGINEERING, MANUFACTURING",3,7,71,29,0.4,2017
66,"ENGINEERING, MECHANICAL",9,11,100,0,0.8,2017
67,"ENGINEERING, MULTIDISCIPLINARY",15,31,90,10,0.5,2017
68,"ENGINEERING, OCEAN",1,1,0,100,1.0,2017
69,ENTOMOLOGY,12,22,64,36,0.5,2017
70,ENVIRONMENTAL SCIENCES,103,206,65,35,0.5,2017
71,ENVIRONMENTAL STUDIES,12,23,65,35,0.5,2017
72,ERGONOMICS,1,2,0,100,0.5,2017
73,ETHICS,2,6,67,33,0.3,2017
74,EVOLUTIONARY BIOLOGY,18,36,74,26,0.5,2017
75,FISHERIES,34,82,64,36,0.4,2017
76,FOOD SCIENCE & TECHNOLOGY,52,101,62,38,0.5,2017
77,FORESTRY,40,70,76,24,0.6,2017
78,GASTROENTEROLOGY & HEPATOLOGY,2,5,80,20,0.4,2017
79,GENETICS & HEREDITY,22,59,52,48,0.4,2017
80,GEOCHEMISTRY & GEOPHYSICS,8,9,100,0,0.9,2017
81,GEOGRAPHY,8,8,88,13,1.0,2017
82,"GEOGRAPHY, PHYSICAL",14,26,62,38,0.5,2017
83,GEOLOGY,41,63,60,40,0.7,2017
84,"GEOSCIENCES, MULTIDISCIPLINARY",39,62,61,39,0.6,2017
85,GERIATRICS & GERONTOLOGY,7,13,77,23,0.5,2017
86,GERONTOLOGY,2,4,25,75,0.5,2017
87,HEALTH CARE SCIENCES & SERVICES,13,28,70,30,0.5,2017
88,HEALTH POLICY & SERVICES,6,14,62,38,0.4,2017
89,HEMATOLOGY,1,2,50,50,0.5,2017
90,HORTICULTURE,28,64,62,38,0.4,2017
91,"HUMANITIES, MULTIDISCIPLINARY",16,24,79,21,0.7,2017
92,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,9,20,95,5,0.5,2017
93,IMMUNOLOGY,29,61,58,42,0.5,2017
94,INFECTIOUS DISEASES,18,33,72,28,0.5,2017
95,INFORMATION SCIENCE & LIBRARY SCIENCE,1,3,33,67,0.3,2017
96,INSTRUMENTS & INSTRUMENTATION,17,31,90,10,0.5,2017
97,INTEGRATIVE & COMPLEMENTARY MEDICINE,3,11,36,64,0.3,2017
98,LANGUAGE & LINGUISTICS,12,15,47,53,0.8,2017
99,LAW,3,3,67,33,1.0,2017
100,LIMNOLOGY,1,3,100,0,0.3,2017
101,LINGUISTICS,13,16,50,50,0.8,2017
102,LITERARY THEORY & CRITICISM,1,4,100,0,0.3,2017
103,LITERATURE,11,16,69,31,0.7,2017
104,"LITERATURE, ROMANCE",10,12,67,33,0.8,2017
105,LOGIC,2,3,67,33,0.7,2017
106,MANAGEMENT,6,10,88,13,0.6,2017
107,MARINE & FRESHWATER BIOLOGY,77,152,59,41,0.5,2017
108,"MATERIALS SCIENCE, BIOMATERIALS",9,8,88,13,1.1,2017
109,"MATERIALS SCIENCE, CERAMICS",4,15,93,7,0.3,2017
110,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",1,2,100,0,0.5,2017
111,"MATERIALS SCIENCE, COATINGS & FILMS",3,9,57,43,0.3,2017
112,"MATERIALS SCIENCE, COMPOSITES",1,2,50,50,0.5,2017
113,"MATERIALS SCIENCE, MULTIDISCIPLINARY",47,88,75,25,0.5,2017
114,"MATERIALS SCIENCE, PAPER & WOOD",9,22,55,45,0.4,2017
115,"MATERIALS SCIENCE, TEXTILES",2,4,25,75,0.5,2017
116,MATHEMATICAL & COMPUTATIONAL BIOLOGY,4,8,88,13,0.5,2017
117,MATHEMATICS,114,115,84,16,1.0,2017
118,"MATHEMATICS, APPLIED",69,70,84,16,1.0,2017
119,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",13,25,84,16,0.5,2017
120,MECHANICS,15,20,83,17,0.8,2017
121,MEDICAL ETHICS,2,6,67,33,0.3,2017
122,MEDICAL INFORMATICS,5,12,73,27,0.4,2017
123,"MEDICINE, GENERAL & INTERNAL",61,162,42,58,0.4,2017
124,"MEDICINE, LEGAL",1,4,75,25,0.3,2017
125,"MEDICINE, RESEARCH & EXPERIMENTAL",27,46,64,36,0.6,2017
126,METALLURGY & METALLURGICAL ENGINEERING,10,16,75,25,0.6,2017
127,METEOROLOGY & ATMOSPHERIC SCIENCES,19,46,87,13,0.4,2017
128,MICROBIOLOGY,25,60,66,34,0.4,2017
129,MINERALOGY,4,12,92,8,0.3,2017
130,MINING & MINERAL PROCESSING,6,12,92,8,0.5,2017
131,MULTIDISCIPLINARY SCIENCES,74,180,68,32,0.4,2017
132,MUSIC,1,2,100,0,0.5,2017
133,MYCOLOGY,5,11,82,18,0.5,2017
134,NANOSCIENCE & NANOTECHNOLOGY,9,20,90,10,0.5,2017
135,NEUROIMAGING,1,3,67,33,0.3,2017
136,NEUROSCIENCES,34,62,52,48,0.5,2017
137,NUCLEAR SCIENCE & TECHNOLOGY,1,1,100,0,1.0,2017
138,NURSING,5,7,14,86,0.7,2017
139,NUTRITION & DIETETICS,27,65,49,51,0.4,2017
140,OBSTETRICS & GYNECOLOGY,22,45,68,32,0.5,2017
141,OCEANOGRAPHY,31,60,72,28,0.5,2017
142,ONCOLOGY,12,23,73,27,0.5,2017
143,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,19,22,68,32,0.9,2017
144,OPHTHALMOLOGY,1,1,100,0,1.0,2017
145,OPTICS,14,34,94,6,0.4,2017
146,ORNITHOLOGY,1,2,100,0,0.5,2017
147,ORTHOPEDICS,6,12,82,18,0.5,2017
148,OTORHINOLARYNGOLOGY,3,6,100,0,0.5,2017
149,PARASITOLOGY,12,16,93,7,0.8,2017
150,PATHOLOGY,2,1,0,0,2.0,2017
151,PEDIATRICS,17,34,82,18,0.5,2017
152,PERIPHERAL VASCULAR DISEASE,5,12,58,42,0.4,2017
153,PHARMACOLOGY & PHARMACY,47,83,57,43,0.6,2017
154,PHILOSOPHY,3,3,100,0,1.0,2017
155,"PHYSICS, APPLIED",15,29,81,19,0.5,2017
156,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",8,25,100,0,0.3,2017
157,"PHYSICS, CONDENSED MATTER",13,20,83,17,0.7,2017
158,"PHYSICS, FLUIDS & PLASMAS",9,10,90,10,0.9,2017
159,"PHYSICS, MATHEMATICAL",12,13,100,0,0.9,2017
160,"PHYSICS, MULTIDISCIPLINARY",10,17,71,29,0.6,2017
161,"PHYSICS, NUCLEAR",5,8,88,13,0.6,2017
162,"PHYSICS, PARTICLES & FIELDS",28,33,88,13,0.8,2017
163,PHYSIOLOGY,10,24,67,33,0.4,2017
164,PLANNING & DEVELOPMENT,1,2,100,0,0.5,2017
165,PLANT SCIENCES,85,173,64,36,0.5,2017
166,POLITICAL SCIENCE,3,3,67,33,1.0,2017
167,POLYMER SCIENCE,20,45,67,33,0.4,2017
168,PRIMARY HEALTH CARE,1,1,0,100,1.0,2017
169,PSYCHIATRY,13,22,48,52,0.6,2017
170,PSYCHOLOGY,37,73,44,56,0.5,2017
171,"PSYCHOLOGY, BIOLOGICAL",2,2,100,0,1.0,2017
172,"PSYCHOLOGY, CLINICAL",13,32,41,59,0.4,2017
173,"PSYCHOLOGY, DEVELOPMENTAL",5,11,27,73,0.5,2017
174,"PSYCHOLOGY, EDUCATIONAL",4,8,38,63,0.5,2017
175,"PSYCHOLOGY, EXPERIMENTAL",2,3,100,0,0.7,2017
176,"PSYCHOLOGY, MULTIDISCIPLINARY",10,26,46,54,0.4,2017
177,"PSYCHOLOGY, SOCIAL",3,4,75,25,0.8,2017
178,PUBLIC ADMINISTRATION,1,2,100,0,0.5,2017
179,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",25,46,67,33,0.5,2017
180,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",8,14,85,15,0.6,2017
181,REHABILITATION,15,14,69,31,1.1,2017
182,RELIGION,2,4,100,0,0.5,2017
183,REMOTE SENSING,14,24,96,4,0.6,2017
184,REPRODUCTIVE BIOLOGY,17,34,57,43,0.5,2017
185,RESPIRATORY SYSTEM,7,8,100,0,0.9,2017
186,RHEUMATOLOGY,2,3,33,67,0.7,2017
187,SOCIAL ISSUES,1,2,100,0,0.5,2017
188,"SOCIAL SCIENCES, BIOMEDICAL",2,6,67,33,0.3,2017
189,"SOCIAL SCIENCES, INTERDISCIPLINARY",4,8,50,50,0.5,2017
190,"SOCIAL SCIENCES, MATHEMATICAL METHODS",2,4,75,25,0.5,2017
191,SOCIAL WORK,1,3,33,67,0.3,2017
192,SOCIOLOGY,3,6,67,33,0.5,2017
193,SOIL SCIENCE,8,18,88,12,0.4,2017
194,SPECTROSCOPY,8,20,78,22,0.4,2017
195,SPORT SCIENCES,6,6,100,0,1.0,2017
196,STATISTICS & PROBABILITY,11,13,92,8,0.8,2017
197,SUBSTANCE ABUSE,1,1,100,0,1.0,2017
198,SURGERY,8,14,93,7,0.6,2017
199,TELECOMMUNICATIONS,42,69,93,7,0.6,2017
200,THERMODYNAMICS,8,22,77,23,0.4,2017
201,TOXICOLOGY,26,56,75,25,0.5,2017
202,TRANSPLANTATION,1,1,100,0,1.0,2017
203,TRANSPORTATION,3,3,33,67,1.0,2017
204,TRANSPORTATION SCIENCE & TECHNOLOGY,1,1,100,0,1.0,2017
205,TROPICAL MEDICINE,1,1,100,0,1.0,2017
206,URBAN STUDIES,2,4,100,0,0.5,2017
207,UROLOGY & NEPHROLOGY,4,15,50,50,0.3,2017
208,VETERINARY SCIENCES,29,62,57,43,0.5,2017
209,VIROLOGY,1,2,100,0,0.5,2017
210,WATER RESOURCES,39,72,79,21,0.5,2017
211,WOMEN'S STUDIES,3,5,20,80,0.6,2017
212,ZOOLOGY,38,73,75,25,0.5,2017
0,ACOUSTICS,4,7,86,14,0.6,2018
1,AGRICULTURAL ECONOMICS & POLICY,3,7,86,14,0.4,2018
2,AGRICULTURAL ENGINEERING,7,23,65,35,0.3,2018
3,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",2,7,43,57,0.3,2018
4,"AGRICULTURE, MULTIDISCIPLINARY",29,62,68,32,0.5,2018
5,AGRONOMY,38,82,66,34,0.5,2018
6,ALLERGY,1,3,50,50,0.3,2018
7,ANATOMY & MORPHOLOGY,27,25,76,24,1.1,2018
8,ANTHROPOLOGY,6,6,50,50,1.0,2018
9,ARCHAEOLOGY,3,3,50,50,1.0,2018
10,ARCHITECTURE,7,9,89,11,0.8,2018
11,AREA STUDIES,2,3,100,0,0.7,2018
12,ASTRONOMY & ASTROPHYSICS,154,91,80,20,1.7,2018
13,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,1,1,100,0,1.0,2018
14,AUTOMATION & CONTROL SYSTEMS,9,17,100,0,0.5,2018
15,BEHAVIORAL SCIENCES,7,11,91,9,0.6,2018
16,BIOCHEMICAL RESEARCH METHODS,12,31,60,40,0.4,2018
17,BIOCHEMISTRY & MOLECULAR BIOLOGY,81,158,76,24,0.5,2018
18,BIODIVERSITY CONSERVATION,23,44,71,29,0.5,2018
19,BIOLOGY,14,33,75,25,0.4,2018
20,BIOPHYSICS,13,31,68,32,0.4,2018
21,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,26,46,67,33,0.6,2018
22,BUSINESS,19,16,80,20,1.2,2018
23,"BUSINESS, FINANCE",3,3,67,33,1.0,2018
24,CARDIAC & CARDIOVASCULAR SYSTEMS,7,9,89,11,0.8,2018
25,CELL BIOLOGY,14,20,65,35,0.7,2018
26,CHEMISTRY,170,312,71,29,0.5,2018
27,"CHEMISTRY, ANALYTICAL",20,49,67,33,0.4,2018
28,"CHEMISTRY, APPLIED",23,53,62,38,0.4,2018
29,"CHEMISTRY, INORGANIC & NUCLEAR",10,15,57,43,0.7,2018
30,"CHEMISTRY, MEDICINAL",20,42,69,31,0.5,2018
31,"CHEMISTRY, MULTIDISCIPLINARY",78,175,73,27,0.4,2018
32,"CHEMISTRY, ORGANIC",7,13,62,38,0.5,2018
33,"CHEMISTRY, PHYSICAL",48,84,65,35,0.6,2018
34,CLINICAL NEUROLOGY,14,18,53,47,0.8,2018
35,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",13,19,72,28,0.7,2018
36,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",1,3,100,0,0.3,2018
37,"COMPUTER SCIENCE, INFORMATION SYSTEMS",28,53,91,9,0.5,2018
38,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",18,34,91,9,0.5,2018
39,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",7,12,73,27,0.6,2018
40,"COMPUTER SCIENCE, THEORY & METHODS",19,52,67,33,0.4,2018
41,CONSTRUCTION & BUILDING TECHNOLOGY,19,31,72,28,0.6,2018
42,CRITICAL CARE MEDICINE,3,2,100,0,1.5,2018
43,CRYSTALLOGRAPHY,5,9,89,11,0.6,2018
44,DEMOGRAPHY,1,1,100,0,1.0,2018
45,"DENTISTRY, ORAL SURGERY & MEDICINE",14,28,46,54,0.5,2018
46,DERMATOLOGY,1,1,100,0,1.0,2018
47,DEVELOPMENTAL BIOLOGY,9,17,65,35,0.5,2018
48,ECOLOGY,81,133,68,32,0.6,2018
49,ECONOMICS,31,35,83,17,0.9,2018
50,EDUCATION & EDUCATIONAL RESEARCH,19,31,62,38,0.6,2018
51,"EDUCATION, SCIENTIFIC DISCIPLINES",5,10,75,25,0.5,2018
52,ELECTROCHEMISTRY,14,30,90,10,0.5,2018
53,ENDOCRINOLOGY & METABOLISM,23,41,56,44,0.6,2018
54,ENERGY & FUELS,40,82,82,18,0.5,2018
55,"ENGINEERING, AEROSPACE",2,2,100,0,1.0,2018
56,"ENGINEERING, BIOMEDICAL",3,2,100,0,1.5,2018
57,"ENGINEERING, CHEMICAL",39,101,69,31,0.4,2018
58,"ENGINEERING, CIVIL",31,50,78,22,0.6,2018
59,"ENGINEERING, ELECTRICAL & ELECTRONIC",81,143,90,10,0.6,2018
60,"ENGINEERING, ENVIRONMENTAL",20,52,67,33,0.4,2018
61,"ENGINEERING, GEOLOGICAL",3,4,100,0,0.8,2018
62,"ENGINEERING, INDUSTRIAL",10,11,100,0,0.9,2018
63,"ENGINEERING, MANUFACTURING",2,2,100,0,1.0,2018
64,"ENGINEERING, MECHANICAL",9,19,79,21,0.5,2018
65,"ENGINEERING, MULTIDISCIPLINARY",14,29,93,7,0.5,2018
66,ENTOMOLOGY,24,40,65,35,0.6,2018
67,ENVIRONMENTAL SCIENCES,115,202,67,33,0.6,2018
68,ENVIRONMENTAL STUDIES,33,47,81,19,0.7,2018
69,ETHICS,1,2,0,100,0.5,2018
70,ETHNIC STUDIES,1,1,100,0,1.0,2018
71,EVOLUTIONARY BIOLOGY,19,37,89,11,0.5,2018
72,FAMILY STUDIES,3,3,33,67,1.0,2018
73,FISHERIES,38,77,70,30,0.5,2018
74,FOOD SCIENCE & TECHNOLOGY,54,118,61,39,0.5,2018
75,FORESTRY,33,60,72,28,0.6,2018
76,GASTROENTEROLOGY & HEPATOLOGY,4,4,75,25,1.0,2018
77,GENETICS & HEREDITY,24,53,75,25,0.5,2018
78,GEOCHEMISTRY & GEOPHYSICS,14,17,94,6,0.8,2018
79,GEOGRAPHY,10,10,70,30,1.0,2018
80,"GEOGRAPHY, PHYSICAL",19,29,89,11,0.7,2018
81,GEOLOGY,59,67,76,24,0.9,2018
82,"GEOSCIENCES, MULTIDISCIPLINARY",56,65,75,25,0.9,2018
83,GERIATRICS & GERONTOLOGY,5,21,57,43,0.2,2018
84,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,14,33,69,31,0.4,2018
85,HEALTH CARE SCIENCES & SERVICES,11,19,79,21,0.6,2018
86,HEALTH POLICY & SERVICES,5,4,100,0,1.3,2018
87,HEMATOLOGY,2,5,80,20,0.4,2018
88,HISTORY,6,6,80,20,1.0,2018
89,HORTICULTURE,8,32,68,32,0.3,2018
90,"HOSPITALITY, LEISURE, SPORT & TOURISM",5,3,100,0,1.7,2018
91,"HUMANITIES, MULTIDISCIPLINARY",21,30,64,36,0.7,2018
92,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,2,4,100,0,0.5,2018
93,IMMUNOLOGY,19,38,57,43,0.5,2018
94,INFECTIOUS DISEASES,14,28,64,36,0.5,2018
95,INFORMATION SCIENCE & LIBRARY SCIENCE,3,3,67,33,1.0,2018
96,INSTRUMENTS & INSTRUMENTATION,21,36,92,8,0.6,2018
97,INTEGRATIVE & COMPLEMENTARY MEDICINE,6,17,65,35,0.4,2018
98,INTERNATIONAL RELATIONS,4,5,80,20,0.8,2018
99,LANGUAGE & LINGUISTICS,20,33,45,55,0.6,2018
100,LAW,2,2,100,0,1.0,2018
101,LIMNOLOGY,2,4,50,50,0.5,2018
102,LINGUISTICS,21,34,47,53,0.6,2018
103,LITERATURE,17,21,57,43,0.8,2018
104,"LITERATURE, ROMANCE",17,21,57,43,0.8,2018
105,MANAGEMENT,26,30,83,17,0.9,2018
106,MARINE & FRESHWATER BIOLOGY,82,141,70,30,0.6,2018
107,"MATERIALS SCIENCE, BIOMATERIALS",4,7,57,43,0.6,2018
108,"MATERIALS SCIENCE, CERAMICS",3,2,100,0,1.5,2018
109,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",1,5,80,20,0.2,2018
110,"MATERIALS SCIENCE, COATINGS & FILMS",5,12,80,20,0.4,2018
111,"MATERIALS SCIENCE, COMPOSITES",1,1,100,0,1.0,2018
112,"MATERIALS SCIENCE, MULTIDISCIPLINARY",62,124,67,33,0.5,2018
113,"MATERIALS SCIENCE, PAPER & WOOD",18,33,70,30,0.5,2018
114,"MATERIALS SCIENCE, TEXTILES",2,4,50,50,0.5,2018
115,MATHEMATICAL & COMPUTATIONAL BIOLOGY,8,15,93,7,0.5,2018
116,MATHEMATICS,111,107,84,16,1.0,2018
117,"MATHEMATICS, APPLIED",69,63,92,8,1.1,2018
118,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",16,29,71,29,0.6,2018
119,MECHANICS,15,28,93,7,0.5,2018
120,MEDICAL ETHICS,1,2,0,100,0.5,2018
121,MEDICAL INFORMATICS,1,1,100,0,1.0,2018
122,"MEDICINE, GENERAL & INTERNAL",58,104,57,43,0.6,2018
123,"MEDICINE, RESEARCH & EXPERIMENTAL",16,39,70,30,0.4,2018
124,MEDIEVAL & RENAISSANCE STUDIES,1,1,100,0,1.0,2018
125,METALLURGY & METALLURGICAL ENGINEERING,8,19,82,18,0.4,2018
126,METEOROLOGY & ATMOSPHERIC SCIENCES,19,36,69,31,0.5,2018
127,MICROBIOLOGY,31,59,62,38,0.5,2018
128,MINERALOGY,12,30,73,27,0.4,2018
129,MINING & MINERAL PROCESSING,10,26,73,27,0.4,2018
130,MULTIDISCIPLINARY SCIENCES,71,147,74,26,0.5,2018
131,MUSIC,4,3,100,0,1.3,2018
132,MYCOLOGY,4,8,86,14,0.5,2018
133,NANOSCIENCE & NANOTECHNOLOGY,16,49,63,38,0.3,2018
134,NEUROSCIENCES,49,88,49,51,0.6,2018
135,NURSING,5,11,50,50,0.5,2018
136,NUTRITION & DIETETICS,25,60,54,46,0.4,2018
137,OBSTETRICS & GYNECOLOGY,14,20,75,25,0.7,2018
138,OCEANOGRAPHY,38,83,64,36,0.5,2018
139,ONCOLOGY,10,38,58,42,0.3,2018
140,OPERATIONS RESEARCH & MANAGEMENT SCIENCE,22,19,100,0,1.2,2018
141,OPHTHALMOLOGY,4,2,50,50,2.0,2018
142,OPTICS,17,45,93,8,0.4,2018
143,ORNITHOLOGY,7,15,60,40,0.5,2018
144,ORTHOPEDICS,4,7,71,29,0.6,2018
145,OTORHINOLARYNGOLOGY,1,1,0,100,1.0,2018
146,PALEONTOLOGY,3,3,67,33,1.0,2018
147,PARASITOLOGY,13,16,71,29,0.8,2018
148,PATHOLOGY,2,2,100,0,1.0,2018
149,PEDIATRICS,17,34,79,21,0.5,2018
150,PERIPHERAL VASCULAR DISEASE,8,9,57,43,0.9,2018
151,PHARMACOLOGY & PHARMACY,46,107,60,40,0.4,2018
152,PHILOSOPHY,9,6,100,0,1.5,2018
153,"PHYSICS, APPLIED",27,75,75,25,0.4,2018
154,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",12,22,95,5,0.5,2018
